,type,start_time,end_time
150,1,1359,1361
151,4,1366,1371
152,2,1371,1374
153,1,1372,1374
154,5,1372,1378
155,3,1374,1378
156,19,1385,1405
157,20,1387,1408
158,1,1405,1407
159,2,1411,1414
160,6,1434,1441
161,10,1436,1447
162,8,1441,1450
163,5,1449,1455
164,11,1460,1472
165,8,1467,1476
166,1,1474,1476
167,3,1479,1483
168,14,1481,1496
169,2,1481,1484
170,5,1488,1494
171,6,1492,1499
172,6,1498,1505
173,2,1499,1502
174,8,1506,1515
175,4,1508,1513
176,7,1509,1517
177,4,1514,1519
178,1,1516,1518
179,1,1516,1518
180,1,1518,1520
181,2,1521,1524
182,1,1525,1527
183,20,1534,1555
184,1,1537,1539
185,2,1568,1571
186,1,1583,1585
187,1,1583,1585
188,2,1615,1618
189,1,1643,1645
190,6,1660,1667
191,4,1662,1667
192,7,1672,1680
193,1,1686,1688
194,16,1690,1707
195,20,1691,1712
196,1,1693,1695
197,5,1699,1705
198,2,1704,1707
199,4,1708,1713
200,1,1709,1711
201,8,1712,1721
202,4,1717,1722
203,3,1736,1740
204,8,1749,1758
205,2,1750,1753
206,15,1752,1768
207,9,1756,1766
208,19,1760,1780
209,7,1773,1781
210,1,1783,1785
211,3,1790,1794
212,10,1808,1819
213,1,1813,1815
214,10,1832,1843
215,5,1840,1846
216,1,1848,1850
217,1,1865,1867
218,3,1866,1870
219,4,1887,1892
220,1,1887,1889
221,3,1892,1896
222,9,1901,1911
223,2,1918,1921
224,11,1923,1935
225,1,1937,1939
226,6,1937,1944
227,1,1949,1951
228,1,1953,1955
229,18,1964,1983
230,12,1967,1980
231,13,1985,1999
232,6,1997,2004
233,4,2033,2038
234,10,2037,2048
235,7,2038,2046
236,10,2038,2049
237,8,2051,2060
238,1,2059,2061
239,14,2069,2084
240,7,2069,2077
241,2,2075,2078
242,1,2076,2078
243,2,2087,2090
244,15,2087,2103
245,1,2090,2092
246,4,2111,2116
247,3,2122,2126
248,1,2129,2131
249,16,2167,2184
250,4,2175,2180
251,2,2176,2179
252,3,2188,2192
253,3,2202,2206
254,3,2218,2222
255,5,2230,2236
256,6,2242,2249
257,6,2269,2276
258,3,2275,2279
259,1,2286,2288
260,2,2289,2292
261,3,2292,2296
262,1,2299,2301
263,2,2300,2303
264,2,2316,2319
265,13,2318,2332
266,1,2326,2328
267,5,2355,2361
268,13,2358,2372
269,1,2377,2379
270,7,2378,2386
271,1,2381,2383
272,5,2382,2388
273,1,2385,2387
274,5,2386,2392
275,1,2396,2398
276,9,2399,2409
277,3,2406,2410
278,1,2417,2419
279,1,2427,2429
280,4,2430,2435
281,1,2433,2435
282,6,2448,2455
283,1,2454,2456
284,2,2456,2459
285,1,2483,2485
286,1,2499,2501
287,2,2506,2509
288,1,2507,2509
289,2,2514,2517
290,4,2518,2523
291,1,2522,2524
292,8,2545,2554
293,7,2547,2555
294,4,2560,2565
295,2,2562,2565
296,4,2573,2578
297,3,2578,2582
298,1,2582,2584
299,4,2593,2598
300,2,2606,2609
301,7,2623,2631
302,2,2628,2631
303,4,2628,2633
304,1,2631,2633
305,1,2632,2634
306,2,2639,2642
307,6,2642,2649
308,2,2645,2648
309,11,2658,2670
310,10,2659,2670
311,6,2668,2675
312,3,2683,2687
313,2,2698,2701
314,3,2706,2710
315,3,2708,2712
316,20,2710,2731
317,1,2717,2719
318,4,2730,2735
319,1,2763,2765
320,9,2772,2782
321,1,2784,2786
322,3,2798,2802
323,1,2816,2818
324,3,2828,2832
325,18,2830,2849
326,11,2832,2844
327,1,2842,2844
328,1,2850,2852
329,1,2861,2863
330,1,2869,2871
331,1,2900,2902
332,3,2910,2914
333,16,2939,2956
334,1,2940,2942
335,1,2960,2962
336,1,2962,2964
337,19,2963,2983
338,10,2984,2995
339,1,3020,3022
340,18,3028,3047
341,1,3030,3032
342,1,3044,3046
343,4,3048,3053
344,4,3051,3056
345,1,3054,3056
346,2,3055,3058
347,1,3061,3063
348,1,3078,3080
349,3,3080,3084
350,10,3087,3098
351,4,3094,3099
352,3,3099,3103
353,1,3102,3104
354,2,3106,3109
355,19,3107,3127
356,7,3121,3129
357,1,3130,3132
358,2,3184,3187
359,12,3209,3222
360,1,3216,3218
361,6,3222,3229
362,17,3230,3248
363,13,3244,3258
364,1,3246,3248
365,1,3257,3259
366,10,3262,3273
367,2,3263,3266
368,4,3273,3278
369,2,3275,3278
370,4,3276,3281
371,12,3276,3289
372,1,3280,3282
373,7,3281,3289
374,9,3302,3312
375,2,3306,3309
376,3,3308,3312
377,1,3316,3318
378,9,3342,3352
379,2,3357,3360
380,1,3358,3360
381,5,3379,3385
382,2,3385,3388
383,8,3387,3396
384,4,3394,3399
385,2,3401,3404
386,3,3415,3419
387,2,3419,3422
388,14,3428,3443
389,10,3430,3441
390,4,3449,3454
391,3,3452,3456
392,1,3457,3459
393,7,3460,3468
394,15,3464,3480
395,11,3479,3491
396,4,3486,3491
397,3,3493,3497
398,11,3497,3509
399,2,3497,3500
400,3,3498,3502
401,1,3510,3512
402,3,3525,3529
403,13,3526,3540
404,5,3530,3536
405,3,3535,3539
406,1,3541,3543
407,8,3566,3575
408,1,3581,3583
409,13,3598,3612
410,6,3602,3609
411,1,3619,3621
412,4,3621,3626
413,3,3623,3627
414,3,3627,3631
415,7,3628,3636
416,1,3629,3631
417,15,3637,3653
418,5,3648,3654
419,2,3649,3652
420,1,3662,3664
421,2,3669,3672
422,4,3669,3674
423,2,3670,3673
424,1,3679,3681
425,17,3691,3709
426,1,3706,3708
427,16,3746,3763
428,3,3749,3753
429,2,3769,3772
430,14,3771,3786
431,17,3773,3791
432,12,3775,3788
433,5,3780,3786
434,6,3781,3788
435,7,3783,3791
436,6,3786,3793
437,1,3790,3792
438,16,3790,3807
439,1,3803,3805
440,12,3834,3847
441,2,3839,3842
442,3,3897,3901
443,2,3906,3909
444,1,3914,3916
445,8,3915,3924
446,9,3919,3929
447,1,3920,3922
448,1,3935,3937
449,1,3944,3946
450,1,3963,3965
451,2,3979,3982
452,19,3980,4000
453,3,3990,3994
454,1,3996,3998
455,1,3997,3999
456,1,4000,4002
457,16,4004,4021
458,1,4018,4020
459,8,4031,4040
460,3,4032,4036
461,13,4042,4056
462,1,4060,4062
463,2,4068,4071
464,1,4080,4082
465,4,4096,4101
466,7,4097,4105
467,12,4097,4110
468,3,4097,4101
469,3,4098,4102
470,7,4110,4118
471,5,4123,4129
472,1,4124,4126
473,1,4130,4132
474,3,4132,4136
475,1,4137,4139
476,5,4137,4143
477,1,4138,4140
478,7,4147,4155
479,4,4148,4153
480,3,4160,4164
481,2,4175,4178
482,12,4179,4192
483,8,4253,4262
484,1,4271,4273
485,3,4287,4291
486,3,4293,4297
487,5,4294,4300
488,3,4299,4303
489,17,4304,4322
490,2,4311,4314
491,4,4320,4325
492,3,4322,4326
493,11,4327,4339
494,1,4333,4335
495,5,4340,4346
496,1,4352,4354
497,14,4364,4379
498,1,4381,4383
499,1,4388,4390
500,3,4423,4427
501,6,4427,4434
502,1,4447,4449
503,3,4462,4466
504,1,4468,4470
505,1,4486,4488
506,1,4491,4493
507,2,4494,4497
508,1,4494,4496
509,1,4501,4503
510,2,4516,4519
511,1,4522,4524
512,1,4528,4530
513,1,4531,4533
514,9,4535,4545
515,2,4546,4549
516,2,4551,4554
517,1,4556,4558
518,9,4558,4568
519,1,4559,4561
520,9,4563,4573
521,1,4574,4576
522,1,4588,4590
523,13,4596,4610
524,1,4625,4627
525,8,4640,4649
526,3,4641,4645
527,4,4661,4666
528,14,4662,4677
529,2,4667,4670
530,4,4689,4694
531,2,4691,4694
532,5,4700,4706
533,19,4703,4723
534,1,4725,4727
535,1,4731,4733
536,2,4738,4741
537,14,4740,4755
538,10,4742,4753
539,8,4756,4765
540,3,4759,4763
541,2,4766,4769
542,5,4766,4772
543,13,4809,4823
544,1,4815,4817
545,3,4835,4839
546,7,4836,4844
547,10,4845,4856
548,8,4853,4862
549,3,4854,4858
550,8,4872,4881
551,5,4879,4885
552,1,4891,4893
553,16,4892,4909
554,7,4895,4903
555,5,4897,4903
556,2,4899,4902
557,1,4908,4910
558,3,4908,4912
559,2,4915,4918
560,1,4923,4925
561,8,4931,4940
562,6,4931,4938
563,10,4932,4943
564,2,4936,4939
565,15,4939,4955
566,9,4960,4970
567,2,4961,4964
568,11,4974,4986
569,3,4974,4978
570,7,4977,4985
571,3,4996,5000
572,9,4998,5008
573,1,5001,5003
574,6,5003,5010
575,4,5032,5037
576,1,5037,5039
577,5,5050,5056
578,1,5065,5067
579,15,5074,5090
580,4,5074,5079
581,2,5081,5084
582,3,5095,5099
583,1,5095,5097
584,1,5106,5108
585,1,5113,5115
586,1,5125,5127
587,2,5146,5149
588,1,5157,5159
589,18,5177,5196
590,2,5178,5181
591,18,5179,5198
592,14,5184,5199
593,3,5193,5197
594,2,5195,5198
595,1,5200,5202
596,1,5209,5211
597,16,5209,5226
598,1,5218,5220
599,1,5219,5221
600,3,5223,5227
601,4,5228,5233
602,2,5238,5241
603,1,5258,5260
604,15,5261,5277
605,2,5270,5273
606,2,5303,5306
607,2,5308,5311
608,5,5338,5344
609,3,5356,5360
610,2,5368,5371
611,2,5369,5372
612,1,5371,5373
613,2,5375,5378
614,3,5385,5389
615,1,5409,5411
616,3,5411,5415
617,13,5415,5429
618,1,5416,5418
619,2,5428,5431
620,3,5431,5435
621,6,5437,5444
622,13,5443,5457
623,1,5461,5463
624,3,5463,5467
625,1,5486,5488
626,20,5492,5513
627,17,5532,5550
628,1,5535,5537
629,2,5551,5554
630,7,5551,5559
631,7,5559,5567
632,1,5562,5564
633,11,5579,5591
634,14,5587,5602
635,1,5595,5597
636,1,5596,5598
637,1,5600,5602
638,1,5642,5644
639,3,5645,5649
640,10,5646,5657
641,17,5656,5674
642,5,5659,5665
643,15,5665,5681
644,3,5678,5682
645,2,5682,5685
646,1,5685,5687
647,10,5687,5698
648,4,5708,5713
649,3,5710,5714
650,1,5714,5716
651,1,5716,5718
652,3,5732,5736
653,9,5761,5771
654,2,5769,5772
655,9,5773,5783
656,3,5779,5783
657,11,5783,5795
658,2,5789,5792
659,1,5800,5802
660,13,5806,5820
661,4,5807,5812
662,1,5808,5810
663,1,5816,5818
664,1,5820,5822
665,2,5828,5831
666,12,5833,5846
667,13,5845,5859
668,5,5846,5852
669,4,5851,5856
670,1,5879,5881
671,1,5886,5888
672,9,5888,5898
673,1,5920,5922
674,1,5926,5928
675,3,5931,5935
676,6,5932,5939
677,17,5943,5961
678,1,5943,5945
679,2,5946,5949
680,1,5955,5957
681,1,5959,5961
682,3,5960,5964
683,15,5960,5976
684,3,5962,5966
685,15,5972,5988
686,1,5976,5978
687,6,6000,6007
688,12,6002,6015
689,4,6019,6024
690,1,6035,6037
691,1,6039,6041
692,13,6039,6053
693,1,6043,6045
694,1,6047,6049
695,7,6055,6063
696,7,6059,6067
697,3,6062,6066
698,2,6064,6067
699,5,6075,6081
700,9,6080,6090
701,6,6087,6094
702,1,6089,6091
703,1,6103,6105
704,14,6103,6118
705,6,6114,6121
706,12,6117,6130
707,2,6135,6138
708,1,6139,6141
709,11,6146,6158
710,1,6162,6164
711,1,6166,6168
712,12,6176,6189
713,9,6189,6199
714,16,6191,6208
715,5,6195,6201
716,2,6200,6203
717,1,6213,6215
718,4,6214,6219
719,1,6232,6234
720,13,6238,6252
721,18,6239,6258
722,8,6245,6254
723,5,6252,6258
724,1,6258,6260
725,1,6290,6292
726,2,6293,6296
727,6,6299,6306
728,6,6302,6309
729,3,6347,6351
730,3,6350,6354
731,4,6350,6355
732,9,6352,6362
733,1,6364,6366
734,18,6382,6401
735,19,6382,6402
736,2,6418,6421
737,4,6419,6424
738,3,6427,6431
739,4,6445,6450
740,2,6464,6467
741,1,6473,6475
742,11,6512,6524
743,12,6516,6529
744,4,6518,6523
745,6,6530,6537
746,19,6534,6554
747,3,6535,6539
748,1,6540,6542
749,15,6545,6561
750,8,6550,6559
751,1,6551,6553
752,1,6561,6563
753,5,6567,6573
754,1,6573,6575
755,8,6581,6590
756,4,6588,6593
757,1,6593,6595
758,2,6599,6602
759,17,6601,6619
760,6,6604,6611
761,1,6604,6606
762,1,6632,6634
763,3,6640,6644
764,13,6642,6656
765,5,6673,6679
766,11,6674,6686
767,10,6683,6694
768,18,6685,6704
769,1,6701,6703
770,2,6705,6708
771,20,6729,6750
772,3,6755,6759
773,3,6770,6774
774,19,6780,6800
775,2,6795,6798
776,17,6795,6813
777,4,6798,6803
778,10,6812,6823
779,1,6814,6816
780,3,6819,6823
781,7,6839,6847
782,1,6840,6842
783,10,6842,6853
784,16,6851,6868
785,5,6864,6870
786,10,6868,6879
787,4,6883,6888
788,1,6884,6886
789,2,6890,6893
790,1,6901,6903
791,1,6910,6912
792,1,6914,6916
793,2,6915,6918
794,3,6917,6921
795,1,6920,6922
796,17,6945,6963
797,6,6973,6980
798,1,6975,6977
799,3,6977,6981
800,1,7002,7004
801,7,7006,7014
802,1,7008,7010
803,13,7038,7052
804,1,7042,7044
805,9,7044,7054
806,5,7044,7050
807,1,7068,7070
808,1,7082,7084
809,9,7102,7112
810,3,7105,7109
811,1,7106,7108
812,8,7116,7125
813,3,7118,7122
814,1,7134,7136
815,1,7162,7164
816,1,7169,7171
817,1,7174,7176
818,1,7189,7191
819,3,7200,7204
820,6,7207,7214
821,1,7216,7218
822,9,7221,7231
823,2,7232,7235
824,14,7233,7248
825,5,7235,7241
826,6,7239,7246
827,3,7248,7252
828,5,7261,7267
829,8,7268,7277
830,15,7272,7288
831,3,7285,7289
832,9,7295,7305
833,5,7319,7325
834,17,7323,7341
835,12,7323,7336
836,1,7327,7329
837,1,7333,7335
838,9,7334,7344
839,1,7343,7345
840,14,7345,7360
841,2,7345,7348
842,1,7354,7356
843,5,7364,7370
844,1,7369,7371
845,4,7370,7375
846,4,7370,7375
847,8,7380,7389
848,12,7395,7408
849,8,7402,7411
850,1,7403,7405
851,2,7403,7406
852,1,7413,7415
853,14,7425,7440
854,3,7435,7439
855,12,7436,7449
856,2,7437,7440
857,2,7448,7451
858,15,7461,7477
859,20,7472,7493
860,8,7479,7488
861,1,7486,7488
862,2,7504,7507
863,1,7511,7513
864,13,7523,7537
865,6,7546,7553
866,16,7566,7583
867,3,7571,7575
868,1,7578,7580
869,1,7601,7603
870,4,7602,7607
871,1,7611,7613
872,3,7612,7616
873,1,7616,7618
874,2,7623,7626
875,12,7639,7652
876,5,7640,7646
877,2,7641,7644
878,6,7644,7651
879,7,7646,7654
880,12,7658,7671
881,3,7668,7672
882,1,7672,7674
883,8,7676,7685
884,3,7676,7680
885,1,7676,7678
886,10,7684,7695
887,6,7687,7694
888,7,7709,7717
889,1,7709,7711
890,8,7732,7741
891,5,7737,7743
892,6,7756,7763
893,4,7770,7775
894,7,7771,7779
895,1,7771,7773
896,12,7774,7787
897,4,7779,7784
898,11,7796,7808
899,1,7816,7818
900,2,7828,7831
901,15,7833,7849
902,5,7835,7841
903,1,7864,7866
904,8,7866,7875
905,17,7866,7884
906,1,7870,7872
907,14,7872,7887
908,11,7882,7894
909,10,7899,7910
910,7,7907,7915
911,1,7921,7923
912,14,7924,7939
913,10,7935,7946
914,2,7957,7960
915,4,7979,7984
916,10,7993,8004
917,4,7997,8002
918,1,7998,8000
919,1,7999,8001
920,3,8007,8011
921,1,8008,8010
922,1,8011,8013
923,1,8013,8015
924,5,8014,8020
925,14,8020,8035
926,3,8021,8025
927,2,8044,8047
928,1,8045,8047
929,2,8050,8053
930,1,8050,8052
931,15,8052,8068
932,1,8072,8074
933,15,8085,8101
934,2,8085,8088
935,2,8087,8090
936,1,8091,8093
937,1,8095,8097
938,1,8096,8098
939,6,8139,8146
940,3,8143,8147
941,2,8157,8160
942,1,8171,8173
943,3,8187,8191
944,3,8197,8201
945,7,8204,8212
946,16,8241,8258
947,1,8247,8249
948,17,8248,8266
949,2,8251,8254
950,10,8258,8269
951,3,8272,8276
952,3,8276,8280
953,1,8286,8288
954,3,8332,8336
955,1,8336,8338
956,14,8337,8352
957,19,8345,8365
958,4,8352,8357
959,4,8360,8365
960,16,8367,8384
961,1,8381,8383
962,3,8385,8389
963,1,8389,8391
964,1,8390,8392
965,2,8391,8394
966,20,8397,8418
967,13,8404,8418
968,6,8405,8412
969,1,8406,8408
970,3,8409,8413
971,2,8413,8416
972,5,8415,8421
973,2,8419,8422
974,1,8420,8422
975,18,8421,8440
976,20,8422,8443
977,1,8427,8429
978,1,8428,8430
979,2,8436,8439
980,14,8451,8466
981,8,8452,8461
982,6,8454,8461
983,1,8469,8471
984,1,8472,8474
985,1,8482,8484
986,1,8517,8519
987,4,8519,8524
988,19,8519,8539
989,1,8519,8521
990,7,8522,8530
991,8,8524,8533
992,1,8531,8533
993,2,8536,8539
994,4,8552,8557
995,17,8552,8570
996,9,8561,8571
997,8,8570,8579
998,15,8572,8588
999,4,8574,8579
1000,13,8579,8593
1001,15,8605,8621
1002,10,8611,8622
1003,1,8615,8617
1004,1,8623,8625
1005,2,8631,8634
1006,3,8637,8641
1007,4,8642,8647
1008,14,8645,8660
1009,6,8645,8652
1010,2,8647,8650
1011,1,8648,8650
1012,1,8652,8654
1013,4,8657,8662
1014,8,8672,8681
1015,1,8694,8696
1016,1,8699,8701
1017,7,8710,8718
1018,1,8734,8736
1019,1,8746,8748
1020,14,8763,8778
1021,1,8781,8783
1022,1,8783,8785
1023,3,8788,8792
1024,2,8793,8796
1025,2,8798,8801
1026,1,8824,8826
1027,2,8838,8841
1028,7,8842,8850
1029,5,8861,8867
1030,14,8866,8881
1031,1,8894,8896
1032,2,8897,8900
1033,3,8900,8904
1034,7,8903,8911
1035,2,8906,8909
1036,11,8915,8927
1037,1,8932,8934
1038,4,8941,8946
1039,1,8970,8972
1040,3,8972,8976
1041,15,8974,8990
1042,2,8983,8986
1043,19,8994,9014
1044,1,8999,9001
1045,1,9009,9011
1046,1,9022,9024
1047,1,9024,9026
1048,1,9026,9028
1049,4,9026,9031
1050,4,9027,9032
1051,1,9031,9033
1052,12,9037,9050
1053,7,9050,9058
1054,12,9054,9067
1055,1,9063,9065
1056,5,9065,9071
1057,1,9068,9070
1058,14,9085,9100
1059,8,9112,9121
1060,2,9130,9133
1061,1,9134,9136
1062,19,9135,9155
1063,2,9139,9142
1064,2,9141,9144
1065,2,9144,9147
1066,4,9161,9166
1067,2,9163,9166
1068,1,9186,9188
1069,2,9194,9197
1070,1,9204,9206
1071,6,9210,9217
1072,2,9210,9213
1073,1,9233,9235
1074,1,9245,9247
1075,15,9246,9262
1076,1,9256,9258
1077,4,9275,9280
1078,19,9285,9305
1079,2,9285,9288
1080,10,9301,9312
1081,11,9325,9337
1082,14,9326,9341
1083,7,9331,9339
1084,2,9331,9334
1085,2,9338,9341
1086,1,9359,9361
1087,1,9366,9368
1088,1,9367,9369
1089,3,9390,9394
1090,1,9393,9395
1091,1,9397,9399
1092,18,9408,9427
1093,1,9415,9417
1094,15,9434,9450
1095,3,9434,9438
1096,2,9479,9482
1097,20,9492,9513
1098,6,9501,9508
1099,5,9503,9509
1100,10,9515,9526
1101,1,9525,9527
1102,1,9537,9539
1103,7,9540,9548
1104,2,9551,9554
1105,9,9572,9582
1106,3,9579,9583
1107,1,9582,9584
1108,4,9584,9589
1109,2,9590,9593
1110,9,9592,9602
1111,5,9593,9599
1112,2,9594,9597
1113,2,9604,9607
1114,13,9604,9618
1115,4,9628,9633
1116,3,9644,9648
1117,4,9647,9652
1118,1,9651,9653
1119,1,9659,9661
1120,1,9659,9661
1121,13,9674,9688
1122,15,9678,9694
1123,2,9684,9687
1124,8,9695,9704
1125,6,9697,9704
1126,5,9724,9730
1127,1,9732,9734
1128,1,9736,9738
1129,19,9737,9757
1130,7,9742,9750
1131,1,9763,9765
1132,14,9771,9786
1133,4,9774,9779
1134,17,9776,9794
1135,2,9783,9786
1136,17,9810,9828
1137,5,9815,9821
1138,1,9820,9822
1139,4,9829,9834
1140,5,9843,9849
1141,7,9859,9867
1142,9,9861,9871
1143,11,9883,9895
1144,4,9897,9902
1145,1,9903,9905
1146,4,9904,9909
1147,2,9911,9914
1148,2,9915,9918
1149,1,9930,9932
1150,20,9938,9959
1151,1,9954,9956
1152,4,9957,9962
1153,8,9962,9971
1154,6,9977,9984
1155,5,9978,9984
1156,4,9992,9997
1157,6,9999,10006
1158,1,10008,10010
1159,15,10010,10026
1160,9,10018,10028
1161,16,10036,10053
1162,13,10038,10052
1163,7,10038,10046
1164,1,10060,10062
1165,3,10072,10076
1166,3,10084,10088
1167,3,10090,10094
1168,2,10091,10094
1169,3,10092,10096
1170,13,10099,10113
1171,17,10121,10139
1172,1,10124,10126
1173,4,10137,10142
1174,4,10139,10144
1175,6,10141,10148
1176,19,10147,10167
1177,9,10152,10162
1178,3,10157,10161
1179,11,10216,10228
1180,5,10228,10234
1181,10,10234,10245
1182,3,10235,10239
1183,1,10239,10241
1184,1,10246,10248
1185,1,10254,10256
1186,13,10255,10269
1187,2,10256,10259
1188,11,10269,10281
1189,1,10276,10278
1190,2,10287,10290
1191,2,10293,10296
1192,1,10316,10318
1193,4,10328,10333
1194,2,10353,10356
1195,5,10362,10368
1196,1,10374,10376
1197,1,10385,10387
1198,2,10393,10396
1199,3,10401,10405
1200,19,10408,10428
1201,4,10436,10441
1202,1,10436,10438
1203,4,10437,10442
1204,1,10438,10440
1205,14,10452,10467
1206,6,10456,10463
1207,1,10463,10465
1208,1,10464,10466
1209,8,10474,10483
1210,1,10475,10477
1211,2,10492,10495
1212,6,10508,10515
1213,4,10513,10518
1214,2,10525,10528
1215,1,10536,10538
1216,5,10546,10552
1217,1,10552,10554
1218,1,10571,10573
1219,14,10581,10596
1220,5,10591,10597
1221,3,10595,10599
1222,2,10597,10600
1223,2,10598,10601
1224,3,10603,10607
1225,2,10608,10611
1226,2,10614,10617
1227,3,10614,10618
1228,5,10615,10621
1229,2,10620,10623
1230,2,10625,10628
1231,3,10628,10632
1232,1,10633,10635
1233,2,10640,10643
1234,10,10645,10656
1235,1,10661,10663
1236,1,10674,10676
1237,1,10698,10700
1238,4,10705,10710
1239,5,10708,10714
1240,13,10713,10727
1241,8,10720,10729
1242,6,10720,10727
1243,1,10731,10733
1244,5,10733,10739
1245,11,10740,10752
1246,14,10757,10772
1247,3,10760,10764
1248,8,10775,10784
1249,14,10782,10797
1250,1,10784,10786
1251,1,10800,10802
1252,4,10800,10805
1253,4,10800,10805
1254,20,10804,10825
1255,9,10807,10817
1256,1,10816,10818
1257,9,10820,10830
1258,1,10820,10822
1259,1,10822,10824
1260,1,10836,10838
1261,5,10838,10844
1262,9,10842,10852
1263,1,10854,10856
1264,11,10860,10872
1265,1,10865,10867
1266,2,10870,10873
1267,1,10871,10873
1268,5,10877,10883
1269,3,10881,10885
1270,4,10889,10894
1271,20,10891,10912
1272,1,10902,10904
1273,4,10924,10929
1274,5,10944,10950
1275,6,10952,10959
1276,5,10989,10995
1277,2,11005,11008
1278,2,11014,11017
1279,3,11020,11024
1280,8,11022,11031
1281,7,11044,11052
1282,5,11047,11053
1283,2,11048,11051
1284,1,11053,11055
1285,1,11075,11077
1286,4,11077,11082
1287,1,11078,11080
1288,14,11081,11096
1289,2,11112,11115
1290,8,11115,11124
1291,19,11118,11138
1292,8,11120,11129
1293,4,11123,11128
1294,1,11139,11141
1295,3,11141,11145
1296,19,11150,11170
1297,10,11159,11170
1298,18,11161,11180
1299,8,11165,11174
1300,3,11177,11181
1301,17,11180,11198
1302,2,11182,11185
1303,1,11187,11189
1304,2,11201,11204
1305,1,11210,11212
1306,7,11222,11230
1307,16,11276,11293
1308,1,11313,11315
1309,11,11315,11327
1310,2,11320,11323
1311,7,11320,11328
1312,2,11322,11325
1313,9,11324,11334
1314,5,11325,11331
1315,7,11325,11333
1316,13,11326,11340
1317,16,11330,11347
1318,2,11330,11333
1319,3,11345,11349
1320,1,11354,11356
1321,10,11405,11416
1322,7,11427,11435
1323,16,11466,11483
1324,1,11472,11474
1325,6,11493,11500
1326,2,11495,11498
1327,3,11498,11502
1328,1,11507,11509
1329,4,11517,11522
1330,5,11536,11542
1331,2,11538,11541
1332,20,11549,11570
1333,5,11597,11603
1334,8,11598,11607
1335,11,11611,11623
1336,13,11625,11639
1337,3,11631,11635
1338,2,11631,11634
1339,4,11636,11641
1340,1,11657,11659
1341,1,11659,11661
1342,1,11667,11669
1343,1,11681,11683
1344,1,11694,11696
1345,1,11696,11698
1346,3,11710,11714
1347,19,11751,11771
1348,3,11758,11762
1349,10,11762,11773
1350,2,11762,11765
1351,1,11769,11771
1352,1,11775,11777
1353,4,11782,11787
1354,1,11787,11789
1355,2,11791,11794
1356,3,11800,11804
1357,1,11810,11812
1358,14,11827,11842
1359,1,11840,11842
1360,15,11853,11869
1361,5,11855,11861
1362,7,11862,11870
1363,1,11874,11876
1364,2,11882,11885
1365,3,11882,11886
1366,1,11889,11891
1367,16,11897,11914
1368,3,11911,11915
1369,2,11913,11916
1370,9,11916,11926
1371,2,11916,11919
1372,5,11918,11924
1373,3,11920,11924
1374,1,11937,11939
1375,4,11947,11952
1376,4,11960,11965
1377,20,11963,11984
1378,6,11965,11972
1379,2,11969,11972
1380,2,11976,11979
